text,label
My mood is low...,sad
I'm emotionally drained.,sad
I'm feeling hopeless,sad
This is so upsetting,sad
I can't find happiness.,sad
I feel lonely,sad
I feel depressed and tired,sad
I'm feeling hopeless.,sad
I'm feeling very low,sad
This is so upsetting,sad
I feel lonely!!,sad
I am disheartened...,sad
I'm feeling very low,sad
I am heartbroken!,sad
I feel depressed and tired,sad
I'm feeling hopeless,sad
I feel like giving up.,sad
This makes me feel awful,sad
I feel sorrowful...,sad
Everything seems bleak...,sad
I feel like giving up.,sad
Nothing seems right,sad
I feel like giving up.,sad
I'm feeling very low,sad
I feel sorrowful...,sad
I am heartbroken,sad
I'm emotionally drained!,sad
I feel gloomy,sad
I feel lost...,sad
I feel down today,sad
I'm emotionally drained,sad
I feel down today,sad
I feel lost!,sad
I feel really sad...,sad
I am heartbroken...,sad
I feel sorrowful,sad
I can't stop crying,sad
I feel lonely,sad
I am heartbroken!!,sad
Everything seems bleak.,sad
I feel sorrowful,sad
I feel like giving up,sad
I feel down today,sad
My mood is low!!,sad
I feel gloomy!,sad
I feel lost,sad
Everything seems bleak,sad
I'm feeling very low!,sad
Everything seems bleak,sad
I'm feeling very low.,sad
I feel really sad,sad
Everything seems bleak,sad
I feel really sad...,sad
I am disheartened...,sad
My mood is low...,sad
I feel like giving up,sad
This is so upsetting,sad
I am heartbroken,sad
I feel depressed and tired!!,sad
This is so upsetting,sad
I feel depressed and tired,sad
Nothing seems right,sad
I feel gloomy...,sad
Everything seems bleak!,sad
I feel enraged,angry
I feel so frustrated,angry
I feel aggressive,angry
This is ridiculous,angry
I feel aggressive,angry
I'm losing my patience,angry
I feel aggressive,angry
I feel so mad,angry
I feel enraged,angry
I am frustrated beyond words!,angry
I feel bitter,angry
This is infuriating,angry
I'm losing my patience!,angry
This is unfair,angry
I am frustrated beyond words.,angry
This is ridiculous!,angry
This is unfair,angry
This is outrageous.,angry
I am extremely angry,angry
I can't deal with this,angry
This is completely unacceptable!,angry
I'm so upset about this,angry
I'm so upset about this,angry
I am frustrated beyond words.,angry
This is ridiculous!!,angry
I am frustrated beyond words,angry
I can't deal with this,angry
I can't deal with this,angry
I'm losing my patience!,angry
I can't believe this happened,angry
This is ridiculous.,angry
I feel bitter...,angry
This is unfair...,angry
I'm losing my patience,angry
This is outrageous,angry
I feel aggressive...,angry
I am frustrated beyond words!,angry
I'm losing my patience.,angry
This is infuriating,angry
I am extremely angry,angry
This is outrageous.,angry
I feel so frustrated...,angry
This is so irritating,angry
I feel aggressive...,angry
I am frustrated beyond words,angry
I feel so mad,angry
This is so irritating,angry
I can't tolerate this,angry
This is completely unacceptable...,angry
I'm losing my patience!!,angry
I'm losing my patience!!,angry
I can't tolerate this!,angry
I feel aggressive,angry
I feel bitter,angry
I feel aggressive!,angry
This situation annoys me.,angry
I feel aggressive,angry
I am extremely angry,angry
I'm losing my patience,angry
I can't tolerate this,angry
This is ridiculous,angry
This is so irritating,angry
I'm really upset now,angry
This is outrageous,angry
I feel so mad,angry
I feel aggressive...,angry
I feel bitter,angry
This is so irritating,angry
This situation annoys me!!,angry
I'm really upset now!,angry
I am frustrated beyond words!,angry
I am extremely angry,angry
This is infuriating...,angry
This is infuriating.,angry
This is outrageous!,angry
Sounds good,neutral
"Noted, thank you...",neutral
I see your perspective,neutral
"Sure, go on",neutral
Understood...,neutral
I see what you mean...,neutral
Okay then...,neutral
"Okay, thanks for explaining!",neutral
That seems fine,neutral
I understand your point,neutral
I acknowledge that.,neutral
"Alright, noted",neutral
I acknowledge that,neutral
Please continue explaining,neutral
Makes sense,neutral
"Noted, thank you",neutral
Understood!,neutral
I see what you mean,neutral
I see your perspective,neutral
"Sure, go on",neutral
Fine by me...,neutral
"Alright, noted",neutral
"Okay, thanks for explaining",neutral
I see your perspective!!,neutral
"Sure, go on",neutral
I see what you mean!!,neutral
"Alright, noted",neutral
Sounds good...,neutral
I acknowledge that.,neutral
"Noted, thank you",neutral
"Okay, I understand",neutral
"Okay, thanks for explaining.",neutral
That seems fine,neutral
Sounds good.,neutral
That works for me,neutral
Go ahead!!,neutral
I understand your point,neutral
Understood,neutral
Sounds good.,neutral
Makes sense.,neutral
"Okay, I understand",neutral
Go ahead,neutral
That works for me!!,neutral
Please continue explaining!!,neutral
That seems fine.,neutral
I understand your point,neutral
"Alright, noted...",neutral
Okay then,neutral
I see your perspective,neutral
"Okay, I understand",neutral
Please continue explaining,neutral
"Okay, thanks for explaining...",neutral
"Sure, go on!!",neutral
"Alright, noted",neutral
"Okay, thanks for explaining",neutral
Makes sense!!,neutral
"Alright, noted",neutral
Fine by me.,neutral
I acknowledge that,neutral
I see your perspective.,neutral
I see what you mean...,neutral
"Sure, go on",neutral
I see your perspective!!,neutral
"Noted, thank you",neutral
Understood,neutral
I acknowledge that,neutral
Go ahead.,neutral
I get it!,neutral
"Okay, thanks for explaining",neutral
That works for me,neutral
Fine by me,neutral
I see your perspective,neutral
Fine by me,neutral
Makes sense,neutral
Sounds good.,neutral
